contributionFactor,IsConflict
32.6765,1
84.22,1
94.7221,1
29.9909,1
21.2461,1
22.943,1
34.8735,1
83.4352,1
17.7551,0
12.5433,0
12.4939,0
11.8531,0
13.1531,0
11.1588,0
11.7617,0
11.7617,0
