contributionFactor,IsConflict
0.553605,1
84.22,1
94.7221,1
29.9909,1
21.2461,1
22.943,1
34.8735,1
83.4352,1
16.7421,0
13.935,0
12.4602,0
11.6554,0
10.1922,0
10.5093,0
11.627,0
11.7801,0
