contributionFactor,IsConflict
12.3223,0
11.4458,0
12.4444,0
13.3803,0
9.26829,0
9.45946,0
11.1111,0
12.0711,0
0,1
27.25,1
59.9415,1
7.34178,1
0,1
11.3333,1
16.5138,1
82.1522,1
