contributionFactor,IsConflict
19.0852,0
10.8778,0
12.7596,0
11.8486,0
11.5215,0
13.8223,0
11.7794,0
12.0542,0
0.96606,1
88.6146,1
96.9906,1
44.793,1
54.092,1
23.2903,1
39.776,1
83.5172,1
