contributionFactor,IsConflict
18.2916,0
16.1712,0
12.646,0
11.5059,0
11.3325,0
10.7432,0
12.0687,0
11.8607,0
4.23427,1
92.2271,1
98.7816,1
57.5388,1
82.8009,1
25.7003,1
43.3553,1
83.2958,1
