contributionFactor,IsConflict
18.381,0
19.164,0
12.2722,0
12.4699,0
11.1375,0
12.4877,0
11.6253,0
11.7683,0
0.087176,1
90.6577,1
97.7771,1
50.6112,1
67.8459,1
24.9664,1
42.2646,1
82.6626,1
